LIPID CATEGORY|LIPID CATEGORY|SUM COMPOSITION|INDIVIDUAL LIPID SPECIES |poner por niveles|FORMULA|MONOISOTOPIC MASS|RT
SPHINGOLIPIDS (SP)||SM 32:3|SM(d18:2/15:0)||C38H75N2O6P|686,5359|5,59
SPHINGOLIPIDS (SP)||SM 34:2|SM(d18:2/16:0)||C39H77N2O6P|700,5486|6,18
SPHINGOLIPIDS (SP)||SM 36:2|SM(d18:2/18:0)||C41H81N2O6P|728,5829|7,62
SPHINGOLIPIDS (SP)||SM 36:3|SM(d18:2/18:1)||C41H79N2O6P|726,5720|6,55
SPHINGOLIPIDS (SP)||SM 38:2|SM(d18:2/20:0)||C43H85N2O6P|756,6114|9,67
SPHINGOLIPIDS (SP)||SM 38:3|SM(d18:2/20:1)||C43H83N2O6P|754,5961|8,06
SPHINGOLIPIDS (SP)||SM 40:2|SM(d18:2/22:0)||C45H89N2O6P|784,6472|11,64
SPHINGOLIPIDS (SP)||SM 40:3|SM(d18:2/22:1)||C45H87N2O6P|782,6322|9,85
SPHINGOLIPIDS (SP)||SM 41:2|SM(d18:2/23:0)/SM(d19:1/22:1)||C46H91N2O6P|798,6611|11,77
SPHINGOLIPIDS (SP)||SM 42:4|SM(d18:2/24:2)||C47H89N2O6P|808,6524|10,57
SPHINGOLIPIDS (SP)||SM 43:2|SM(d18:2/25:0)||C48H95N2O6P|826,6875|12,05
SPHINGOLIPIDS (SP)||SM 35:1|SM(d19:1/16:0)||C40H81N2O6P|716,5831|7,80
SPHINGOLIPIDS (SP)||SM 37:1|SM(d19:1/18:0)||C42H85N2O6P|744,6161|9,95
SPHINGOLIPIDS (SP)||SM 41:2|SM(d19:1/22:1)/SM(d18:2/23:0)||C46H91N2O6P|798,6610|11,87
SPHINGOLIPIDS (SP)||SM 39:0|SM(d20:0/19:0)||C44H91N2O6P|774,6480|11,93
SPHINGOLIPIDS (SP)||SM 40:3|SM40:3||C45H87N2O6P|782,6323|10,22
SPHINGOLIPIDS (SP)||SM 41:3|SM41:3||C46H89N2O6P|796,6458|11,97
GLYCEROLIPIDS (GL)||TG 46:3|TG(10:0_18:1_18:2)||C49H88O6|772,6423|13,00
GLYCEROLIPIDS (GL)||TG 26:0|TG(10:0_8:0_8:0)||C29H54O6|498,3915|6,28
GLYCEROLIPIDS (GL)||TG 48:5|TG(12:0_18:1_18:4)||C51H88O6|796,6515|12,79
GLYCEROLIPIDS (GL)||TG 48:4|TG(12:0_18:2_18:2)||C51H90O6|798,6889|13,04
GLYCEROLIPIDS (GL)||TG 47:1|TG(14:0_15:0_18:1)||C50H94O6|790,6956|13,95
GLYCEROLIPIDS (GL)||TG 50:6|TG(14:2_18:2_18:2)||C53H90O6|822,6583|12,97
GLYCEROLIPIDS (GL)||TG 49:0|TG(15:0_16:0_18:0)||C52H100O6|820,7341|15,12
GLYCEROLIPIDS (GL)||TG 51:5|TG(15:0_18:1_18:4)||C54H94O6|838,7022|13,20
GLYCEROLIPIDS (GL)||TG 51:1|TG(16:0_17:0_18:1)||C54H102O6|846,7538|14,92
GLYCEROLIPIDS (GL)||TG 54:1;OH|TG(16:0_17:1_20:1;OH)||C56H104O7|888,7943|14,94
GLYCEROLIPIDS (GL)||TG 53:2|TG(16:0_18:1_19:1)||C56H104O6|872,7688|15,07
GLYCEROLIPIDS (GL)||TG 56:5;OH|TG(16:0_18:1_22:4;OH)||C59H104O7|924,7964|14,29
GLYCEROLIPIDS (GL)||TG 56:7|TG(16:0_18:1_22:6)||C59H100O6|904,7506|13,80
GLYCEROLIPIDS (GL)||TG 54:7;OH|TG(16:0_18:2_20:5;OH)||C57H96O7|892,7302|13,33
GLYCEROLIPIDS (GL)||TG 55:6|TG(16:0_18:2_21:4)||C58H100O6|892,7575|13,77
GLYCEROLIPIDS (GL)||TG 56:8;OH|TG(16:0_18:2_22:6;OH)||C59H98O7|918,7444|13,44
GLYCEROLIPIDS (GL)||TG 55:5|TG(16:0_19:1_20:4)||C58H102O6|894,7633|14,29
GLYCEROLIPIDS (GL)||TG 51:1|TG(17:0_17:0_17:1)||C54H102O6|846,7480|15,09
GLYCEROLIPIDS (GL)||TG 54:8|TG(17:0_18:0_18:1)||C56H106O6|874,7802|15,85
GLYCEROLIPIDS (GL)||TG 53:2|TG(17:0_18:1_18:1)||C56H104O6|872,7717|14,79
GLYCEROLIPIDS (GL)||TG 53:4|TG(17:1_18:1_18:2)||C56H100O6|868,7487|13,90
GLYCEROLIPIDS (GL)||TG 56:4;OH|TG(18:0_18:0_20:4;OH)||C59H106O7|926,7825|15,20
GLYCEROLIPIDS (GL)||TG 56:4;OH|TG(18:0_18:1_20:3;OH)||C59H106O7|926,8068|14,82
GLYCEROLIPIDS (GL)||TG 58:7|TG(18:0_18:1_22:6)||C61H104O6|932,7737|14,42
GLYCEROLIPIDS (GL)||TG 55:3|TG(18:1_18:1_19:1)||C58H106O6|898,7925|15,09
GLYCEROLIPIDS (GL)||TG 56:2|TG(18:1_18:1_20:0)||C59H110O6|914,8161|16,22
GLYCEROLIPIDS (GL)||TG 58:4|TG(18:1_18:1_22:2)||C61H110O6|938,8133|15,44
GLYCEROLIPIDS (GL)||TG 58:3|TG(18:1_18:2_22:0)||C61H112O6|940,8231|16,34
GLYCEROLIPIDS (GL)||TG 58:7;OH|TG(18:1_18:2_22:4;OH)||C61H104O7|948,7957|14,02
GLYCEROLIPIDS (GL)||TG 44:3|TG(18:1_18:2_8:0)||C47H84O6|744,6319|12,72
GLYCEROLIPIDS (GL)||TG 58:9|TG(18:1_18:3_18:1)||C61H100O6|928,7504|13,87
GLYCEROLIPIDS (GL)||TG 58:8;OH|TG(18:1_20:3_20:4;OH)||C61H102O7|946,7796|13,80
GLYCEROLIPIDS (GL)||TG 58:2|TG(18:1_22:0_18:1)||C61H114O6|942,8608|17,37
GLYCEROLIPIDS (GL)||TG 54:7|TG(18:2_18:2_18:3)||C57H96O6|876,7376|13,06
GLYCEROLIPIDS (GL)||TG 56:9|TG(18:2_18:2_20:5)||C59H96O6|900,7302|13,12
GLYCEROLIPIDS (GL)||TG 58:5|TG(18:2_20:3_20:0)||C61H108O6|936,8041|14,52
GLYCEROLIPIDS (GL)||TG 58:11|TG(18:3_20:3_20:5)||C61H96O6|924,7071|12,92
GLYCEROLIPIDS (GL)||TG 58:7|TG(22:5_18:1_18:1)||C61H104O6|932,7808|13,95
GLYCEROLIPIDS (GL)||TG 24:0|TG(8:0_8:0_8:0)||C27H50O6|470,3613|5,27
GLYCEROLIPIDS (GL)||TG 36:0|TG36:0||C39H74O6|638,5455|12,42
GLYCEROLIPIDS (GL)||TG 38:0|TG38:0||C41H78O6|666,5784|12,62
GLYCEROLIPIDS (GL)||TG 38:1|TG38:1||C41H76O6|664,5497|12,44
GLYCEROLIPIDS (GL)||TG 40:0|TG40:0||C43H82O6|694,6059|12,94
GLYCEROLIPIDS (GL)||TG 40:1|TG40:1||C43H80O6|692,5947|12,67
GLYCEROLIPIDS (GL)||TG 40:2|TG40:2||C43H78O6|690,5820|12,44
GLYCEROLIPIDS (GL)||TG 42:0|TG42:0||C45H86O6|722,6357|13,30
GLYCEROLIPIDS (GL)||TG 42:1|TG42:1||C45H84O6|720,6162|12,95
GLYCEROLIPIDS (GL)||TG 42:2|TG42:2||C45H82O6|718,6140|12,69
GLYCEROLIPIDS (GL)||TG 44:0|TG44:0||C47H90O6|750,6612|13,72
GLYCEROLIPIDS (GL)||TG 44:1|TG44:1||C47H88O6|748,6476|13,30
GLYCEROLIPIDS (GL)||TG 44:2|TG44:2||C47H86O6|746,6346|13,00
GLYCEROLIPIDS (GL)||TG 45:1|TG45:1||C48H90O6|762,6903|13,50
GLYCEROLIPIDS (GL)||TG 46:0|TG46:0||C49H94O6|778,7044|14,20
GLYCEROLIPIDS (GL)||TG 46:1|TG46:1||C49H92O6|776,6756|13,72
GLYCEROLIPIDS (GL)||TG 46:2|TG46:2||C49H90O6|774,6738|13,34
GLYCEROLIPIDS (GL)||TG 46:4|TG46:4||C49H86O6|770,6395|12,74
GLYCEROLIPIDS (GL)||TG 47:0|TG47:0||C50H96O6|792,7377|14,49
GLYCEROLIPIDS (GL)||TG 47:0; OH|TG47:0;OH||C50H96O7|808,7291|14,49
GLYCEROLIPIDS (GL)||TG 47:2|TG47:2||C50H92O6|788,6787|13,54
GLYCEROLIPIDS (GL)||TG 48:0|TG48:0||C51H98O6|806,7364|14,79
GLYCEROLIPIDS (GL)||TG 48:1|TG48:1||C51H96O6|804,7207|14,20
GLYCEROLIPIDS (GL)||TG 48:2|TG48:2||C51H94O6|802,7056|13,75
GLYCEROLIPIDS (GL)||TG 48:3|TG48:3||C51H92O6|800,6895|13,35
GLYCEROLIPIDS (GL)||TG 49:0|TG49:0||C52H100O6|820,7369|14,97
GLYCEROLIPIDS (GL)||TG 49:1|TG49:1||C52H98O6|818,7356|14,45
GLYCEROLIPIDS (GL)||TG 49:2|TG49:2||C52H96O6|816,7200|13,94
GLYCEROLIPIDS (GL)||TG 49:3|TG49:3||C52H94O6|814,6961|13,54
GLYCEROLIPIDS (GL)||TG 50:0|TG50:0||C53H102O6|834,7550|15,48
GLYCEROLIPIDS (GL)||TG 50:1|TG50:1||C53H100O6|832,7498|14,77
GLYCEROLIPIDS (GL)||TG 50:2|TG50:2||C53H98O6|830,7370|14,20
GLYCEROLIPIDS (GL)||TG 50:3|TG50:3||C53H96O6|828,7220|13,75
GLYCEROLIPIDS (GL)||TG 50:4|TG50:4||C53H94O6|826,6868|13,37
GLYCEROLIPIDS (GL)||TG 51:0|TG51:0||C54H104O6|848,7615|15,87
GLYCEROLIPIDS (GL)||TG 51:2|TG51:2||C54H100O6|844,7442|14,45
GLYCEROLIPIDS (GL)||TG 51:3|TG51:3||C54H98O6|842,7356|13,97
GLYCEROLIPIDS (GL)||TG 51:4|TG51:4||C54H96O6|840,7156|13,57
GLYCEROLIPIDS (GL)||TG 52:0|TG52:0||C55H106O6|862,7882|16,32
GLYCEROLIPIDS (GL)||TG 52:1|TG52:1||C55H104O6|860,7726|15,45
GLYCEROLIPIDS (GL)||TG 52:2|TG52:2||C55H102O6|858,7682|14,75
GLYCEROLIPIDS (GL)||TG 52:3|TG52:3||C55H100O6|856,7460|14,23
GLYCEROLIPIDS (GL)||TG 52:4|TG52:4||C55H98O6|854,7286|14,04
GLYCEROLIPIDS (GL)||TG 52:4|TG52:4||C55H98O6|854,7294|13,79
GLYCEROLIPIDS (GL)||TG 52:5|TG52:5||C55H96O6|852,7167|13,45
GLYCEROLIPIDS (GL)||TG 52:6|TG52:6||C55H94O6|850,6923|13,22
GLYCEROLIPIDS (GL)||TG 53:3|TG53:3||C56H102O6|870,7566|14,50
GLYCEROLIPIDS (GL)||TG 53:5|TG53:5||C56H98O6|866,7288|13,59
GLYCEROLIPIDS (GL)||TG 53:6|TG53:6||C56H96O6|864,7093|13,40
GLYCEROLIPIDS (GL)||TG 54:0|TG54:0||C57H110O6|890,8108|17,33
GLYCEROLIPIDS (GL)||TG 54:1|TG54:1||C57H108O6|888,8030|16,27
GLYCEROLIPIDS (GL)||TG 54:2|TG54:2||C57H106O6|886,7993|15,43
GLYCEROLIPIDS (GL)||TG 54:3|TG54:3||C57H104O6|884,7838|14,75
GLYCEROLIPIDS (GL)||TG 54:4|TG54:4||C57H102O6|882,7616|14,22
GLYCEROLIPIDS (GL)||TG 54:5|TG54:5||C57H100O6|880,7425|13,79
GLYCEROLIPIDS (GL)||TG 54:5|TG54:5||C57H100O6|880,7475|14,02
GLYCEROLIPIDS (GL)||TG 54:5; OH|TG54:5;OH||C57H100O7|896,7572|14,02
GLYCEROLIPIDS (GL)||TG 54:6|TG54:6||C57H98O6|878,7348|13,44
GLYCEROLIPIDS (GL)||TG 54:7|TG54:7||C57H96O6|876,7139|13,32
GLYCEROLIPIDS (GL)||TG 54:7|TG54:7||C57H96O6|876,7192|13,15
GLYCEROLIPIDS (GL)||TG 54:7;OH|TG54:7;OH||C57H96O7|892,7328|13,15
GLYCEROLIPIDS (GL)||TG 54:8|TG54:8||C57H94O6|874,6932|13,14
GLYCEROLIPIDS (GL)||TG 56:10|TG56:10||C61H98O6|926,7077|13,15
GLYCEROLIPIDS (GL)||TG 56:3|TG56:3||C59H108O6|912,7957|15,40
GLYCEROLIPIDS (GL)||TG 56:4|TG56:4||C59H106O6|910,8030|14,90
GLYCEROLIPIDS (GL)||TG 56:5|TG56:5||C59H104O6|908,7644|14,22
GLYCEROLIPIDS (GL)||TG 56:5|TG56:5||C59H104O6|908,7654|14,40
GLYCEROLIPIDS (GL)||TG 56:6|TG56:6||C59H102O6|906,7578|14,00
GLYCEROLIPIDS (GL)||TG 56:6;OH|TG56:6;OH||C59H102O7|922,7822|13,80
GLYCEROLIPIDS (GL)||TG 56:7|TG56:7||C59H100O6|904,7521|13,62
GLYCEROLIPIDS (GL)||TG 56:8|TG56:8||C59H98O6|902,7273|13,49
GLYCEROLIPIDS (GL)||TG 58:6|TG58:6||C61H106O6|934,7928|14,27
GLYCEROLIPIDS (GL)||TG 58:8|TG58:8||C61H102O6|930,7534|13,80
GLYCEROLIPIDS (GL)||TG 58:9|TG58:9||C61H100O6|928,7449|13,45
