LIPID CATEGORY|LIPID CATEGORY|SUM COMPOSITION|INDIVIDUAL LIPID SPECIES |poner por niveles|FORMULA|MONOISOTOPIC MASS|RT
FATTY ACYLS (FA)||FAHFA 36:1|FAHFA18:0_(FA20:2)||C38H70O4|590,5236|4,41
FATTY ACYLS (FA)||FAHFA 38:2|FAHFA18:1_(FA18:0)||C36H68O4|564,5081|3,78
FATTY ACYLS (FA)||FAHFA 38:4|FAHFA18:1_(FA20:3)||C38H66O4|586,4943|3,78
FATTY ACYLS (FA)||FAHFA 38:6|FAHFA18:2_(FA20:4)||C38H62O4|582,4631|3,19
FATTY ACYLS (FA)||FAHFA 40:5|FAHFA18:2_(FA22:3)||C40H68O4|612,5095|11,61
GLYCEROLIPIDS (GL)||HexCer 34:1|GlcCer(d18:1/16:0)||C40H77NO8|699,5551|7,59
GLYCEROLIPIDS (GL)||HexCer 40:1|GlcCer(d18:1/22:0)||C46H89NO8|783,6574|12,10
GLYCEROLIPIDS (GL)||HexCer 41:1|GlcCer(d18:1/23:0)||C47H91NO8|797,6804|12,24
GLYCEROLIPIDS (GL)||HexCer 42:1|GlcCer(d18:1/24:0)||C48H93NO8|811,6899|12,23
GLYCEROLIPIDS (GL)||HexCer 42:2|GlcCer(d20:2/22:0)||C48H91NO8|809,6738|11,97
GLYCEROLIPIDS (GL)||MG 16:4|MG(16:4/0:0/0:0)||C19H30O4|322,2153|0,98
GLYCEROLIPIDS (GL)||MG 18:2|MG(18:2/0:0/0:0)||C21H38O4|354,2761|1,63
GLYCEROLIPIDS (GL)||MG 20:2|MG(20:2/0:0/0:0)||C23H42O4|382,3123|2,40
FATTY ACYLS (FA)||MG 20:3|MG(20:3/0:0/0:0)||C23H40O4|380,2931|1,80
FATTY ACYLS (FA)||NAE 14:0|NAE14:0||C16H33NO2|271,2514|1,07
FATTY ACYLS (FA)||NAE 16:0|NAE16:0||C18H37NO2|299,2821|1,41
FATTY ACYLS (FA)||NAE 18:0|NAE18:0||C20H41NO2|327,3134|2,47
GLYCEROPHOSPHOLIPIDS (GP)||LPA 20:4|PA(20:4_0:0)||C23H39O7P|458,2433|2,63
GLYCEROPHOSPHOLIPIDS (GP)||PA 32:1|PA32:1||C35H67O8P|646,4574|12,25
GLYCEROPHOSPHOLIPIDS (GP)||PA 34:2|PA34:2||C37H69O8P|672,4730|7,87
GLYCEROPHOSPHOLIPIDS (GP)||PA 36:4|PA36:4||C39H69O8P|696,4730|7,64
GLYCEROPHOSPHOLIPIDS (GP)||PC O-30:1/PC P-30:0|PC O-30:1/PC P-30:0||C38H76NO7P|689,5275|8,20
GLYCEROPHOSPHOLIPIDS (GP)||LPC 14:0|PC(0:0/14:0)||C22H46NO7P|467,3005|1,42
GLYCEROPHOSPHOLIPIDS (GP)||LPC 16:0|PC(0:0/16:0)||C24H50NO7P|495,3333|2,43
GLYCEROPHOSPHOLIPIDS (GP)||LPC 16:1|PC(0:0/16:1)||C24H48NO7P|493,3149|1,58
GLYCEROPHOSPHOLIPIDS (GP)||LPC 17:0|PC(0:0/17:0)||C25H52NO7P|509,3495|2,91
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:0|PC(0:0/18:0)||C26H54NO7P|523,3630|3,23
