LIPID CATEGORY|LIPID CATEGORY|SUM COMPOSITION|INDIVIDUAL LIPID SPECIES |poner por niveles|FORMULA|MONOISOTOPIC MASS|RT|monoisotopic_mass_fixed|[M+H]+|[M+Na]+|[M+K]+|[M+NH4]+|[M+C2H7N2]+|[M+CH5O]+|[M+C2H8N]+|[2M+H]+|[2M+Na]+|[2M+K]+|[2M+NH4]+|[2M+Na+H]+|[M-H]-|[M+Cl]-|[M+CH3CO2]-|[M+CH2COONa]-|[M+C4H6O4Na]-|[M+C6H9O6Na2]-|[M+C8H12O8Na3]-|[M+HCO2]-|[M+COONa]-|[M+C3H4O4Na]-|[2M-H]-
||FA 20:5|C20:5||C20H30O2|302,2253|2,60|302.224580963|303.23185741509997|325.213801663|341.187742383|320.25840651140004|361.2849556077|335.2580725435|348.28970663980004|605.4564383781|627.438382626|643.412323346|622.4829874743999|628.4462076581|301.21730451089996|337.19397954299995|361.2384346393|383.2203788872|443.2415090156|525.2445833918999|607.2476577682|347.2227845751|369.20472882300004|429.2258589514|603.4418854738999
||FA 22:0|C22:0||C22H44O2|340,3347|6,36|340.3341314124|341.3414078645|363.3233521124|379.2972928324|358.36795696080003|399.3945060571|373.3676229929|386.39925708920003|681.6755392768999|703.6574835248|719.6314242448|698.7020883731999|704.6653085569|339.32685496029995|375.30352999239994|399.3479850887|421.3299293366|481.351059465|563.3541338413|645.3572082175999|385.3323350245|407.31427927240003|467.3354094008|679.6609863727
||FA 22:1|C22:1||C22H42O2|338,3225|5,31|338.31848134819995|339.3257578003|361.3077020482|377.28164276819996|356.3523068966|397.3788559929|371.3519729287|384.383607025|677.6442391485|699.6261833963999|715.6001241163999|694.6707882448|700.6340084285|337.3112048961|373.2878799281999|397.3323350245|419.31427927240003|479.3354094008|561.3384837771|643.3415581534|383.3166849603|405.2986292082|465.3197593366|675.6296862442999
||FA 22:4|C22:4||C22H36O2|332,2706|3,77|332.2715311556|333.2788076077|355.2607518556|371.2346925756|350.305356704|391.3319058003|365.3050227361|378.3366568324|665.5503387633|687.5322830112|703.5062237312|682.5768878596|688.5401080433|331.26425470349994|367.24092973559993|391.2853848319|413.26732907980005|473.2884592082|555.2915335845|637.2946079608|377.2697347677|399.2516790156|459.272809144|663.5357858591
||FA 22:5|C22:5||C22H34O2|330,2552|3,31|330.2558810914|331.2631575435|353.24510179140003|369.2190425114|348.28970663980004|389.3162557361|363.28937267189997|376.3210067682|661.5190386349|683.5009828828|699.4749236028|678.5455877311999|684.5088079149|329.24860463929997|365.2252796714|389.2697347677|411.2516790156|471.272809144|553.2758835203|635.2789578965999|375.2540847035|397.23602895140004|457.25715907980003|659.5044857306999
||FA 22:6|C22:6||C22H32O2|328,2397|2,91|328.24023102719997|329.2475074793|351.2294517272|367.2033924472|346.2740565756|387.3006056719|361.27372260770005|374.305356704|657.4877385065|679.4696827544|695.4436234743999|674.5142876028|680.4775077865|327.23295457509994|363.2096296072|387.2540847035|409.23602895140004|469.25715907980003|551.2602334561|633.2633078324|373.2384346393|395.2203788872|455.2415090156|655.4731856023
||FA 23:0|C23:0||C23H46O2|354,3499|6,31|354.34978147659996|355.3570579287|377.3390021766|393.31294289659996|372.383607025|413.41015612129996|387.38327305710004|400.4149071534|709.7068394053|731.6887836532|747.6627243731999|726.7333885016|732.6966086853|353.3425050245|389.3191800566|413.36363515290003|435.34557940080003|495.3667095292|577.3697839055001|659.3728582818001|399.3479850887|421.3299293366|481.351059465|707.6922865010999
||FA 24:0|C24:0||C24H48O2|368,3660|7,78|368.3654315408|369.3727079929|391.3546522408|407.3285929608|386.39925708920003|427.4258061855|401.39892312129996|414.43055721760004|737.7381395337|759.7200837816|775.6940245016|754.7646886299999|760.7279088137|367.35815508869996|403.3348301208|427.3792852171|449.361229465|509.3823595934|591.3854339697|673.388508346|413.36363515290003|435.34557940080003|495.3667095292|735.7235866295
||FA 24:1|C24:1||C24H46O2|366,3504|6,41|366.34978147659996|367.3570579287|389.3390021766|405.31294289659996|384.383607025|425.41015612129996|399.38327305710004|412.4149071534|733.7068394053|755.6887836532|771.6627243731999|750.7333885016|756.6966086853|365.3425050245|401.3191800566|425.36363515290003|447.34557940080003|507.3667095292|589.3697839055001|671.3728582818001|411.3479850887|433.3299293366|493.351059465|731.6922865010999
||FA 25:0|C25:0||C25H50O2|382,3812|7,88|382.38108160499996|383.3883580571|405.370302305|421.34424302499997|400.4149071534|441.44145624969997|415.4145731855|428.4462072818|765.7694396621|787.75138391|803.7253246299999|782.7959887584|788.7592089421|381.3738051529|417.3504801849999|441.3949352813|463.37687952920004|523.3980096576|605.4010840339|687.4041584101999|427.3792852171|449.361229465|509.3823595934|763.7548867579
